"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"800803032","","","","","2008-05-01 00:20:35 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Shopping with my wife. I need a nap."
"800689382","800677173","6540762","","","2008-04-30 21:10:31 +0000","web","@scottmerrick please post those stories. Most don't think they exist."
"800672588","","","","","2008-04-30 20:46:16 +0000","web","just caught some kids having fun with PhotoBooth."
"800620995","800616682","781121","","","2008-04-30 19:28:15 +0000","web","@tonyvincent do you really want to know?"
"800519185","","","","","2008-04-30 17:04:49 +0000","web","If you like flags, you'll like this.  http://www.frederiksamuel.com/blog/images/myflags.swf"
"800491142","800480533","5936222","","","2008-04-30 16:26:54 +0000","web","@donnadesroches I think we need to publicize and promote the successes. Too many horror stories and hopeless attitudes. Let's change that."
"800477585","800473382","5936222","","","2008-04-30 16:09:35 +0000","web","@donnadesroches didn't intend the title to be targeted or offensive but generally speaking.....that's how I feel."
"800476383","800473960","11767382","","","2008-04-30 16:08:06 +0000","web","@cgseibel I already tagged your post....it's a good one."
"800470203","","","","","2008-04-30 16:00:24 +0000","<a href=""http://alexking.org/projects/wordpress"" rel=""nofollow"">Twitter Tools</a>","Hot off the press: My IT staff is better than yours http://tinyurl.com/5ze2gp"
"800430753","800427514","5779592","","","2008-04-30 15:12:22 +0000","web","@joevans 300 miles is even more impressive. Your ""get off your butt"" program seems to be working. Mine, not so much."
"800408588","800407107","5634392","","","2008-04-30 14:45:49 +0000","web","@dkuropatwa just emailed your blog post to my consultant group. Thanks for doing that."
"800406047","800373147","6212782","","","2008-04-30 14:42:43 +0000","web","@LParisi Have a great day.Birthday is the same as my wife.I'll likely never forget it. Yours that is. Pretty sure I'd never forget my wife's"
"800093629","","","","","2008-04-30 04:18:34 +0000","web","@injenuity what's the presentation: the life and times of @courosa?"
"800091563","800090968","9978622","","","2008-04-30 04:14:44 +0000","web","@skydaddy I like Piper too."
"800086402","","","","","2008-04-30 04:04:51 +0000","web","@dnorman with what? you're answer was 132 under the limit. I've got a micro cloth for my glasses. Do I dare?"
"800082576","","","","","2008-04-30 03:58:17 +0000","web","The antithesis of Tiger Woods.  http://tinyurl.com/55hvtp  Yikes John, put a shirt on!"
"800080808","800077615","10334132","","","2008-04-30 03:55:11 +0000","web","@ScottElias that must be a real treat."
"800077570","800076101","739293","","","2008-04-30 03:49:32 +0000","web","@courosa interested in hearing responses and perspectives from the conference"
"800073305","","","","","2008-04-30 03:42:00 +0000","web","@dnorman how do I get the schmutz off my lens?"
"800073090","","","","","2008-04-30 03:41:33 +0000","web","My daughter is upstairs...she chats with my on Facebook. Sometimes my wife calls  me from her cell when she's upstairs. Bizarre."
"800070570","800068003","5634392","","","2008-04-30 03:36:58 +0000","web","@dkuropatwa If you're up for it, it might be worth blogging about. You know how fast these studies can circulate and take root."
"800068389","800065436","12060152","","","2008-04-30 03:33:01 +0000","web","@bircherd  @petrock will eat that stuff up. Maybe he'll see this tweet, follow your link and leave a comment."
"800067772","800067645","5634392","","","2008-04-30 03:31:56 +0000","web","@dkuropatwa somehow I think 500 slideshows trumps 5,000 tweets. I'll make tea and drink to you as well."
"800058687","","","","","2008-04-30 03:16:14 +0000","web","After 5.003 tweets I've got nothing left."
"799862288","","","","","2008-04-29 21:46:04 +0000","web","How do you limit the number of hands touching a form? What software do you use to handle workflow?"
"799838636","799828502","6581222","","","2008-04-29 21:11:14 +0000","web","@djakes too many http://flickr.com/photos/shareski/2384680260/"
"799804863","","","","","2008-04-29 20:23:22 +0000","web","My 5,000th tweet. http://tinyurl.com/6q3tzu Like a baseball player getting 3,000 hits. I stand up, cry and thank the fans."
"799788401","799787375","18613","","","2008-04-29 19:59:14 +0000","web","@gsiemens nothing wrong with pushing back....but hopefully not out of fear but out of reason and evidence. You and @courosa could push too."
"799782846","","","","","2008-04-29 19:50:32 +0000","web","One of my local high schools has an interesting fundraiser  http://www.prairiesouth.ca/peacock/content/view/57/"
"799776743","799776401","18613","","","2008-04-29 19:41:45 +0000","web","@gsiemens looks like a dandy session....likely not boring."
"799691710","","","","","2008-04-29 17:39:06 +0000","web","IT manager sent me this http://youtube.com/watch?v=Jkrn6ecxthM"
"799625938","","","","","2008-04-29 16:09:42 +0000","web","looking for a great image of students using variety of technologies"
"799625464","799601407","14567685","","","2008-04-29 16:09:05 +0000","web","@alimony hello from Sunny Moose Jaw, Sk, Canada"
"799296253","","","","","2008-04-29 05:44:25 +0000","web","Live tour of my living room and fixed wallpaper http://tinyurl.com/2eocgy one showing only  5 minute max"
"799293317","799290885","12060152","","","2008-04-29 05:37:14 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@bircherd that's sneaky. I like it."
"799293082","799291383","790852","","","2008-04-29 05:36:38 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@kwhobbes Start here: http://tinyurl.com/5rtzje"
"799291196","799290497","6100552","","","2008-04-29 05:32:23 +0000","web","@tonitones Wow! Impressive list...I'll have a second look."
"799290928","799290713","790852","","","2008-04-29 05:31:48 +0000","web","@kwhobbes Pray."
"799290219","799289780","790852","","","2008-04-29 05:30:13 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@kwhobbes Yikes...you're in trouble"
"799290026","","","","","2008-04-29 05:29:51 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@dnorman BTW, I've got a schmutz mark on mine (camera that is) what do I do?"
"799288104","","","","","2008-04-29 05:25:29 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","wife's birthday on Wednesday. Any ideas?"
"799274215","799267307","8870632","","","2008-04-29 04:53:02 +0000","web","@garystager currently reading Einstein....didn't know much about the man or science but am captivated."
"799263522","798992480","5634392","","","2008-04-29 04:30:05 +0000","web","@dkuropatwa had never heard of Randy Pausch."
"799232128","","","","","2008-04-29 03:28:06 +0000","web","17 more tweets to 5,000."
"799228599","799223059","10073992","","","2008-04-29 03:21:40 +0000","web","@sjciske Was she pushing a baby stroller? That was the only fan I saw."
"799193352","","","","","2008-04-29 02:16:40 +0000","web","First slo-pitch game in 8 years. 3/4 with a double and 2RBI's.  Tomorrow my body will remind me how old I am."
"799015505","","","","","2008-04-28 21:01:23 +0000","web","Can't generate a graph from this page: http://www.touchgraph.com/TGGoogleBrowser.html Tried FF, IE and Safari what gives?"
"798997974","798992480","5634392","","","2008-04-28 20:34:53 +0000","web","@dkuropatwa I'd be interested in your response to that study. Seems like it refutes all that we work towards in Math."
"798954481","798948425","9748282","","","2008-04-28 19:30:15 +0000","web","@paulhami yes, if it's in .swf format http://www.amarasoftware.com/tutorials/importpowerpoint.html"
"798934078","798894224","9081902","","","2008-04-28 18:59:53 +0000","web","@Holtsman I can see the potential but it's not yet intuitive for me. Might have to read the 1200 page manual."
"798878138","798871992","6221802","","","2008-04-28 17:37:47 +0000","web","@kevinessdack I'll have a Swiss Melt, curly fries and a vanilla shake."
"798866317","","","","","2008-04-28 17:21:03 +0000","web","Rendering video...my first crack with Final Cut Express."
"798763081","","","","","2008-04-28 15:03:14 +0000","web","Retweet....how many Shareskis does it take to screw in a lightbulb? http://flickr.com/photos/shareski/2448552664/"
"798505231","","","","","2008-04-28 06:36:06 +0000","web","How many Shareskis does it take to screw in a lightbulb? http://www.flickr.com/photos/shareski/2448552664/"
"798489205","798473307","7108702","","","2008-04-28 05:55:35 +0000","web","@chrislehmann writer's block resolved?"
"798459692","","","","","2008-04-28 04:42:51 +0000","web","Twit Electrical crew is right on 2 counts. Short was in another room and breaker needed to be pushed fully off. Always learning."
"798366672","798365589","12294612","","","2008-04-28 01:31:56 +0000","web","@cnansen took the light right out...still can't get power to the room. Breaker won't stay on."
"798363097","","","","","2008-04-28 01:24:02 +0000","web","Why can't a activate a  breaker? Trying to install a light, but disconnected it, the breaker now won't turn on. Electricians, any advice?"
"798362576","798305927","7802652","","","2008-04-28 01:22:53 +0000","web","@jorrflv nice."
"798289180","","","","","2008-04-27 22:43:28 +0000","web","watching golf. Decided not to play this afternoon. Too windy."
"797861960","797861441","18613","","","2008-04-27 04:59:13 +0000","web","@gsiemens you and @courosa hanging out there?"
"797836418","","","","","2008-04-27 03:53:53 +0000","web","might watch Sicko."
"797768700","","","","","2008-04-27 01:14:37 +0000","web","Done most of the jobs for the day. Sun is shining finally, I should go for a walk but have no energy."
"797616831","797616436","9163582","","","2008-04-26 19:18:09 +0000","web","@dmcordell I never ask."
"797611525","","","","","2008-04-26 19:06:34 +0000","<a href=""http://alexking.org/projects/wordpress"" rel=""nofollow"">Twitter Tools</a>","Hot off the press: ""Where's the mouse on this thing? http://tinyurl.com/5ovp7k"
"797597262","","","","","2008-04-26 18:35:45 +0000","web","just got ""the list"" includes garbage duty, meals, installing light fixtures, wallprep and vacuuming. My Saturday is officially shot."
"797582302","797581836","6883232","","","2008-04-26 18:05:06 +0000","web","@abubnic $15/hour and she's worth every penny. Moose Jaw is a great place to live!"
"797581815","797581152","12162982","","","2008-04-26 18:04:15 +0000","web","@schwier Hello everyone from cold, cloudy Moose Jaw, SK. Any questions?"
